Movie Name,Rating,Runtime,Metascore,Votes,Gross,imdb_id,Hit,popularity,vote_average,release_year,budget_adj,revenue_adj,is_major_company,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Thriller,Genre_War,Genre_Western
The Lion King,8.5,88,88.0,1088037,132142175,tt0110357,1,4.782688,7.7,1994,66200020.27,165524556.362,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Usual Suspects,8.5,106,77.0,1106124,23341568,tt0114814,1,3.440238,8.0,1995,8585801.203,33401010.43,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Pianist,8.5,150,85.0,858266,32572577,tt0253474,1,2.364204,7.9,2002,42429148.78,145559349.5,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Psycho,8.5,109,97.0,689042,32000000,tt0054215,1,2.610362,8.0,1960,5949601.344,165524556.362,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Indiana Jones and the Raiders of the Lost Ark,8.4,115,85.0,989947,132142175,tt0082971,1,4.5783,7.5,1981,43167434.49,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Django Unchained,8.4,165,81.0,1603393,132142175,tt1853728,1,5.944518,7.7,2012,78760466.20075,165524556.362,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Shining,8.4,146,66.0,1051533,44017374,tt0081505,1,2.432001,7.9,1980,50274698.31,116471589.4,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Apocalypse Now,8.4,147,94.0,683343,83471511,tt0078788,1,2.31952,7.8,1979,78760466.20075,165524556.362,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Dark Knight Rises,8.4,164,78.0,1745295,132142175,tt1345836,1,6.591277,7.5,2012,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Memento,8.4,113,81.0,1265891,25544867,tt0209144,1,3.095625,7.9,2000,11396629.03,50301043.22,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Aliens,8.4,137,84.0,733778,85160248,tt0090605,1,2.485419,7.6,1986,36804018.6,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
WALL·E,8.4,98,95.0,1145840,132142175,tt0910970,1,5.678119,7.6,2008,78760466.20075,165524556.362,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Amadeus,8.4,160,88.0,410357,51973029,tt0086879,1,1.682283,7.5,1984,37782756.71,109093572.8,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,95,97.0,501156,275902,tt0057012,1,2.210475,7.7,1964,12654481.34,66367636.59,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3 Idiots,8.4,170,67.0,411640,6532908,tt1187043,1,0.816681,7.8,2009,9147603.907,71148030.39,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Heat,8.3,170,76.0,678617,67436818,tt0113277,1,1.847583,7.5,1995,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Inglourious Basterds,8.3,153,69.0,1495487,120540719,tt0361748,1,6.098027,7.7,2009,71148030.39,165524556.362,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scarface,8.3,170,65.0,868142,45598982,tt0086250,1,3.178818,7.8,1983,54732799.94,144242170.7,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Eternal Sunshine of the Spotless Mind,8.3,108,89.0,1033105,34400301,tt0338013,1,3.863377,7.8,2004,23088908.0,83418061.16,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Requiem for a Dream,8.3,102,71.0,863118,3635482,tt0180093,1,1.050687,7.7,2000,5698314.515,9358035.485,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
American Beauty,8.3,122,84.0,1175013,130096601,tt0169547,1,3.55572,7.7,1999,19635792.7,165524556.362,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Good Will Hunting,8.3,126,70.0,1006200,132142175,tt0119217,1,2.202087,7.7,1997,13584603.21,165524556.362,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Full Metal Jacket,8.3,116,78.0,760206,46357676,tt0093058,1,2.0267,7.7,1987,32624367.45,88964109.17,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2001: A Space Odyssey,8.3,149,84.0,686929,56954992,tt0062622,1,3.309196,7.7,1968,75227563.38,165524556.362,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
