Movie Name,Rating,Runtime,Genre,Metascore,Votes,Gross,imdb_id,Hit,popularity,vote_average,release_year,budget_adj,revenue_adj,is_major_company
Braveheart,8.3,178,Biography,68.0,1057222,75600000,tt0112573,1,2.533323,7.5,1995,78760466.20075,165524556.362,0
Reservoir Dogs,8.3,99,Crime,81.0,1044849,2832029,tt0105236,1,4.586426,7.9,1992,1864829.106,22783560.47,1
Star Wars: Episode VI - Return of the Jedi,8.3,131,Action,58.0,1079686,132142175,tt0086190,1,4.828854,7.8,1983,70824243.13,165524556.362,1
Up,8.3,96,Animation,88.0,1072145,132142175,tt1049413,1,4.908902,7.6,2009,78760466.20075,165524556.362,1
Lawrence of Arabia,8.3,218,Adventure,100.0,301728,44824144,tt0056172,1,1.168767,7.5,1962,78760466.20075,165524556.362,0
Toy Story 3,8.3,103,Animation,92.0,856973,132142175,tt0435761,1,2.711136,7.5,2010,78760466.20075,165524556.362,1
To Kill a Mockingbird,8.3,129,Crime,88.0,322670,322670,tt0056592,1,0.810805,7.7,1962,14416897.76,94645823.68,1
The Sting,8.3,129,Comedy,83.0,269965,132142175,tt0070735,1,0.863156,7.7,1973,27011377.68,165524556.362,1
The Apartment,8.3,125,Comedy,94.0,186966,18600000,tt0053604,1,0.947307,7.9,1960,22118902.37,165524556.362,0
Judgment at Nuremberg,8.3,179,Drama,60.0,80150,80150,tt0055031,1,0.538364,6.7,1961,21884583.62,72948612.08,0
Cat City,8.3,96,Animation,64.54545454545455,10365,10365,tt0179955,0,0.19577,8.0,1986,3451350.606,1100009.1155,0
Khosla Ka Ghosla!,8.3,135,Comedy,56.58610567514677,24450,26472,tt0466460,0,0.001115,6.8,2006,8483911.074,13166226.24,0
Jurassic Park,8.2,127,Action,68.0,1016279,132142175,tt0107290,1,2.204926,7.4,1993,78760466.20075,165524556.362,1
Indiana Jones and the Last Crusade,8.2,127,Action,65.0,773288,132142175,tt0097576,1,3.536655,7.4,1989,78760466.20075,165524556.362,1
The Wolf of Wall Street,8.2,180,Biography,75.0,1467644,116900694,tt0993846,1,4.877927,7.9,2013,78760466.20075,165524556.362,1
Taxi Driver,8.2,114,Crime,94.0,866500,28262574,tt0075314,1,2.582657,7.8,1976,4981207.437,108293649.1,1
Shutter Island,8.2,138,Mystery,63.0,1364752,128012934,tt1130884,1,3.176169,7.6,2010,78760466.20075,165524556.362,1
No Country for Old Men,8.2,122,Crime,92.0,1003767,74283625,tt0477348,1,2.730114,7.6,2007,26291714.57,165524556.362,1
The Thing,8.2,109,Horror,57.0,439767,13782838,tt0084787,1,2.355353,7.5,1982,22596424.03,31144285.17,1
The Truman Show,8.2,103,Comedy,90.0,1120022,125618201,tt0120382,1,4.18054,7.6,1998,78760466.20075,165524556.362,1
Casino,8.2,178,Crime,73.0,536007,42438300,tt0112641,1,1.552666,7.6,1995,74410277.09,165524556.362,1
Batman Begins,8.2,140,Action,70.0,1506388,132142175,tt0372784,1,5.400826,7.3,2005,78760466.20075,165524556.362,1
Kill Bill: Vol. 1,8.2,111,Action,69.0,1142827,70099045,tt0266697,1,6.174132,7.6,2003,35560579.34,165524556.362,1
Snatch,8.2,102,Comedy,55.0,875553,30328156,tt0208092,1,2.153361,7.5,2000,12662921.14,105808674.4,1
A Beautiful Mind,8.2,135,Biography,72.0,951840,132142175,tt0268978,1,2.169826,7.5,2001,73889287.0,165524556.362,1
Unforgiven,8.2,130,Drama,85.0,421612,101157447,tt0105695,1,0.84158,7.5,1992,21756339.56,165524556.362,1
Finding Nemo,8.2,100,Animation,90.0,1068742,132142175,tt0266543,1,3.440519,7.4,2003,78760466.20075,165524556.362,1
There Will Be Blood,8.2,158,Drama,93.0,603537,40222514,tt0469494,1,2.04262,7.8,2007,26291714.57,80117737.45,1
The Sixth Sense,8.2,107,Drama,64.0,1012611,132142175,tt0167404,1,2.578731,7.5,1999,52362113.86,165524556.362,0
Die Hard,8.2,132,Action,72.0,902720,83008852,tt0095016,1,3.777441,7.2,1988,51628948.65,165524556.362,1
V for Vendetta,8.2,132,Action,62.0,1142355,70511035,tt0434409,1,3.617106,7.6,2005,60294417.64,147956957.2,0
L.A. Confidential,8.2,138,Crime,91.0,593952,64616940,tt0119488,1,1.123404,7.5,1997,47546111.24,165524556.362,1
Chinatown,8.2,130,Drama,92.0,335294,8486653,tt0071315,1,1.650848,7.7,1974,26533703.33,132668516.7,1
Monty Python and the Holy Grail,8.2,91,Adventure,91.0,552661,1229197,tt0071853,1,2.234953,7.6,1975,1620728.469,20376397.98,0
The Great Escape,8.2,172,Adventure,86.0,249877,12100000,tt0057115,1,0.664326,7.5,1963,28480717.49,35600896.86,0
The Elephant Man,8.2,124,Biography,78.0,248355,248355,tt0080678,1,0.814857,7.6,1980,13230183.76,68825702.12,0
It's Such a Beautiful Day,8.2,62,Animation,90.0,14865,14865,tt2396224,0,0.019197,7.9,2012,19392071.575000003,31555208.205,0
My Father and My Son,8.2,112,Drama,65.23290203327171,88454,88454,tt0476735,1,0.265008,8.2,2005,19392071.575000003,31555208.205,0
The Lion of the Desert,8.2,173,Biography,64.76015473887814,16569,3270000,tt0081059,0,0.193253,7.3,1981,78760466.20075,1100009.1155,0
Montevideo: Taste of a Dream,8.2,140,Adventure,58.352808988764046,12600,12600,tt1634013,0,0.222257,7.3,2010,19392071.575000003,31555208.205,0
Prisoners,8.1,153,Crime,70.0,748917,61002302,tt1392214,1,2.032167,7.8,2013,43057534.23,114314652.3,0
Mad Max: Fury Road,8.1,120,Action,90.0,1032386,132142175,tt1392190,1,28.419936,7.1,2015,78760466.20075,165524556.362,0
The Terminator,8.1,107,Action,84.0,887346,38400000,tt0088247,1,4.831966,7.1,1984,13433869.05,164504443.5,0
Blade Runner,8.1,117,Action,84.0,789503,32868943,tt0083658,1,4.215642,7.7,1982,63269987.27,74045476.21,1
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,143,Action,63.0,1156005,132142175,tt0325980,1,6.864067,7.3,2003,78760466.20075,165524556.362,1
The Grand Budapest Hotel,8.1,99,Adventure,88.0,840887,59100318,tt2278388,1,4.93082,7.9,2014,27632731.52,160822790.4,0
Jaws,8.1,124,Adventure,87.0,625693,132142175,tt0073195,1,2.563191,7.3,1975,28362748.2,165524556.362,1
Gone Girl,8.1,149,Drama,79.0,1010648,132142175,tt2267998,1,6.438727,7.9,2014,56186554.1,165524556.362,1
Dead Poets Society,8.1,128,Comedy,79.0,511370,95860116,tt0097165,1,2.470407,7.9,1989,28847353.0,165524556.362,1
Ratatouille,8.1,111,Animation,96.0,769221,132142175,tt0382932,1,2.764535,7.3,2007,78760466.20075,165524556.362,1
