Model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC,CV_F1_std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
XGBoost,0.9684290604792697,0.8232040467116757,0.8863533292104722,0.8527457573245382,0.9895061167788441,0.027277169105459992,0.9740802675585284,0.859375,0.8943089430894309,0.8764940239043825,0.9944763939717682
Gradient Boosting,0.9661302099045571,0.8594639173393617,0.8114615543186972,0.8320901782869979,0.9890188935643481,0.0218465867936608,0.9724080267558528,0.8813559322033898,0.8455284552845529,0.8630705394190872,0.993605043226574
Random Forest,0.9629936648260122,0.8550511744890696,0.774891774891775,0.8119939583247712,0.9879272002648627,0.04869399721594226,0.9707357859531772,0.9,0.8048780487804879,0.8497854077253219,0.9924003061093053
Decision Tree,0.953375917594645,0.7291735141365931,0.8742527313955885,0.7946136112962379,0.9239538599928212,0.029812726503261774,0.9632107023411371,0.7515923566878981,0.959349593495935,0.8428571428571429,0.9687942778775412
Logistic Regression,0.9353976207027713,0.6244350224200745,0.9491857349000206,0.7525216090018771,0.9866341450757036,0.028095305578762324,0.9489966555183946,0.6781609195402298,0.959349593495935,0.7946127946127947,0.9905666810628964
SVM (RBF),0.9460587697782907,0.6733124692869874,0.9350443207586064,0.7821826249861328,0.9863866532697703,0.034378232058555024,0.9439799331103679,0.6609195402298851,0.9349593495934959,0.7744107744107744,0.9899377931337561
KNN,0.9519134498935393,0.9102147673115415,0.5924139352710782,0.7164583366271629,0.9716419102782738,0.03731593222350766,0.9439799331103679,0.8888888888888888,0.5203252032520326,0.6564102564102564,0.9745527697588252
Naive Bayes,0.3351042527424002,0.1384220363304454,0.9878169449598021,0.24162171331636978,0.9302476623905196,0.04707052761726906,0.3712374581939799,0.13974799541809851,0.991869918699187,0.24497991967871485,0.9353533516695837
