Model,CV_R2,CV_R2_std,Test_R2,Test_RMSE,Test_MAE
Gradient Boosting,0.8506461644484442,0.010501741382293421,0.8559123822841308,0.31572773789686653,0.22864696042353436
Random Forest,0.8414761490170781,0.010594425554878262,0.8525503871604865,0.3193899348474852,0.23248092130478626
XGBoost,0.8299150944129646,0.01488685977677059,0.8390596837686168,0.33368127223802013,0.24775892747285772
Linear Regression,0.835448027476801,0.007408540301689206,0.8363425755938723,0.33648620462079976,0.24462602131964006
Ridge,0.8355338302445977,0.007443452031801923,0.8363117195713317,0.3365179237334899,0.244636124728296
Lasso,0.8305167861819444,0.0072729805553995355,0.8313484586824355,0.34158167577430354,0.2469925630061046
Decision Tree,0.7543923098906984,0.018985706580518673,0.7755928902941991,0.39401949823707627,0.2841629043474843
